time_stamp,time_index,same_time_count,time,period,adj_time,away,home,total,play,player,fg_makes,fg_misses,3_makes,3_misses,ft_makes,ft_misses,points,team
2 2:17 54 52 1,2 2:17 54 52,1,1900-01-01 00:02:17,2,0 days 00:21:43,54,52,106,Montrezl Harrell misses free throw 2 of 2,Montrezl Harrell,,,,,,1,,
2 2:17 54 52 2,2 2:17 54 52,2,1900-01-01 00:02:17,2,0 days 00:21:43,54,52,106,Montrezl Harrell makes free throw 1 of 2,Montrezl Harrell,,,,,1,,1,
2 2:17 53 52 1,2 2:17 53 52,1,1900-01-01 00:02:17,2,0 days 00:21:43,53,52,105,Trevor Ariza shooting foul,,,,,,,,,
2 2:17 53 52 2,2 2:17 53 52,2,1900-01-01 00:02:17,2,0 days 00:21:43,53,52,105,Goran Dragic bad pass (Montrezl Harrell steals),,,,,,,,,
2 2:17 53 52 3,2 2:17 53 52,3,1900-01-01 00:02:17,2,0 days 00:21:43,53,52,105,Goran Dragic defensive rebound,,,,,,,,,
2 2:22 53 52 1,2 2:22 53 52,1,1900-01-01 00:02:22,2,0 days 00:21:38,53,52,105,Kentavious Caldwell-Pope misses 22-foot jumper,Kentavious Caldwell-Pope,,1,,,,,,
2 2:50 53 52 1,2 2:50 53 52,1,1900-01-01 00:02:50,2,0 days 00:21:10,53,52,105,Bam Adebayo makes 4-foot dunk (Goran Dragic assists),Bam Adebayo,1,,,,,,2,Miami Heat
2 3:08 53 50 1,2 3:08 53 50,1,1900-01-01 00:03:08,2,0 days 00:20:52,53,50,103,Goran Dragic enters the game for Victor Oladipo,,,,,,,,,
2 3:08 53 50 2,2 3:08 53 50,2,1900-01-01 00:03:08,2,0 days 00:20:52,53,50,103,Montrezl Harrell makes free throw 2 of 2,Montrezl Harrell,,,,,1,,1,
2 3:08 52 50 1,2 3:08 52 50,1,1900-01-01 00:03:08,2,0 days 00:20:52,52,50,102,Montrezl Harrell makes free throw 1 of 2,Montrezl Harrell,,,,,1,,1,
2 3:08 51 50 1,2 3:08 51 50,1,1900-01-01 00:03:08,2,0 days 00:20:52,51,50,101,Victor Oladipo personal foul,,,,,,,,,
2 3:13 51 50 1,2 3:13 51 50,1,1900-01-01 00:03:13,2,0 days 00:20:47,51,50,101,Dennis Schroder offensive rebound,,,,,,,,,
2 3:15 51 50 1,2 3:15 51 50,1,1900-01-01 00:03:15,2,0 days 00:20:45,51,50,101,Markieff Morris misses 25-foot three point jumper,Markieff Morris,,,,1,,,,
2 3:25 51 50 1,2 3:25 51 50,1,1900-01-01 00:03:25,2,0 days 00:20:35,51,50,101,Tyler Herro makes free throw 2 of 2,Tyler Herro,,,,,1,,1,
2 3:25 51 49 1,2 3:25 51 49,1,1900-01-01 00:03:25,2,0 days 00:20:35,51,49,100,Montrezl Harrell enters the game for Andre Drummond,,,,,,,,,
2 3:25 51 49 2,2 3:25 51 49,2,1900-01-01 00:03:25,2,0 days 00:20:35,51,49,100,Heat offensive team rebound,,,,,,,,,
2 3:25 51 49 3,2 3:25 51 49,3,1900-01-01 00:03:25,2,0 days 00:20:35,51,49,100,Tyler Herro misses free throw 1 of 2,Tyler Herro,,,,,,1,,
2 3:25 51 49 4,2 3:25 51 49,4,1900-01-01 00:03:25,2,0 days 00:20:35,51,49,100,Andre Drummond shooting foul,,,,,,,,,
2 3:32 51 49 1,2 3:32 51 49,1,1900-01-01 00:03:32,2,0 days 00:20:28,51,49,100,Wesley Matthews enters the game for Ben McLemore,,,,,,,,,
2 3:42 51 49 1,2 3:42 51 49,1,1900-01-01 00:03:42,2,0 days 00:20:18,51,49,100,Ben McLemore makes free throw 3 of 3,Ben McLemore,,,,,1,,1,
2 3:42 50 49 1,2 3:42 50 49,1,1900-01-01 00:03:42,2,0 days 00:20:18,50,49,99,Jimmy Butler enters the game for Duncan Robinson,,,,,,,,,
2 3:42 50 49 2,2 3:42 50 49,2,1900-01-01 00:03:42,2,0 days 00:20:18,50,49,99,Ben McLemore makes free throw 2 of 3,Ben McLemore,,,,,1,,1,
2 3:42 49 49 1,2 3:42 49 49,1,1900-01-01 00:03:42,2,0 days 00:20:18,49,49,98,Ben McLemore makes free throw 1 of 3,Ben McLemore,,,,,1,,1,
2 3:42 48 49 1,2 3:42 48 49,1,1900-01-01 00:03:42,2,0 days 00:20:18,48,49,97,Duncan Robinson shooting foul,,,,,,,,,
2 3:45 48 49 1,2 3:45 48 49,1,1900-01-01 00:03:45,2,0 days 00:20:15,48,49,97,Dennis Schroder defensive rebound,,,,,,,,,
2 3:48 48 49 1,2 3:48 48 49,1,1900-01-01 00:03:48,2,0 days 00:20:12,48,49,97,Duncan Robinson misses 29-foot three point jumper,Duncan Robinson,,,,1,,,,
2 4:14 48 49 1,2 4:14 48 49,1,1900-01-01 00:04:14,2,0 days 00:19:46,48,49,97,Kentavious Caldwell-Pope makes 5-foot two point shot,Kentavious Caldwell-Pope,1,,,,,,2,Los Angeles Lakers
2 4:32 46 49 1,2 4:32 46 49,1,1900-01-01 00:04:32,2,0 days 00:19:28,46,49,95,Victor Oladipo traveling,,,,,,,,,
2 4:45 46 49 1,2 4:45 46 49,1,1900-01-01 00:04:45,2,0 days 00:19:15,46,49,95,Andre Drummond makes free throw 2 of 2,Andre Drummond,,,,,1,,1,
2 4:45 45 49 1,2 4:45 45 49,1,1900-01-01 00:04:45,2,0 days 00:19:15,45,49,94,Lakers offensive team rebound,,,,,,,,,
2 4:45 45 49 2,2 4:45 45 49,2,1900-01-01 00:04:45,2,0 days 00:19:15,45,49,94,Andre Drummond misses free throw 1 of 2,Andre Drummond,,,,,,1,,
2 4:45 45 49 3,2 4:45 45 49,3,1900-01-01 00:04:45,2,0 days 00:19:15,45,49,94,Bam Adebayo shooting foul,,,,,,,,,
2 4:56 45 49 1,2 4:56 45 49,1,1900-01-01 00:04:56,2,0 days 00:19:04,45,49,94,Andre Drummond enters the game for Montrezl Harrell,,,,,,,,,
2 4:56 45 49 2,2 4:56 45 49,2,1900-01-01 00:04:56,2,0 days 00:19:04,45,49,94,Ben McLemore enters the game for Wesley Matthews,,,,,,,,,
2 4:56 45 49 3,2 4:56 45 49,3,1900-01-01 00:04:56,2,0 days 00:19:04,45,49,94,Victor Oladipo out of bounds bad pass turnover,,,,,,,,,
2 5:12 45 49 1,2 5:12 45 49,1,1900-01-01 00:05:12,2,0 days 00:18:48,45,49,94,Markieff Morris makes 26-foot three point jumper (Dennis Schroder assists),Markieff Morris,,,1,,,,3,Los Angeles Lakers
2 5:32 42 49 1,2 5:32 42 49,1,1900-01-01 00:05:32,2,0 days 00:18:28,42,49,91,Victor Oladipo makes 7-foot driving floating jump shot (Bam Adebayo assists),Victor Oladipo,1,,,,,,2,Miami Heat
2 5:44 42 47 1,2 5:44 42 47,1,1900-01-01 00:05:44,2,0 days 00:18:16,42,47,89,Bam Adebayo enters the game for Nemanja Bjelica,,,,,,,,,
2 5:44 42 47 2,2 5:44 42 47,2,1900-01-01 00:05:44,2,0 days 00:18:16,42,47,89,Trevor Ariza enters the game for Andre Iguodala,,,,,,,,,
2 5:44 42 47 3,2 5:44 42 47,3,1900-01-01 00:05:44,2,0 days 00:18:16,42,47,89,Duncan Robinson enters the game for Jimmy Butler,,,,,,,,,
2 5:44 42 47 4,2 5:44 42 47,4,1900-01-01 00:05:44,2,0 days 00:18:16,42,47,89,Victor Oladipo enters the game for Goran Dragic,,,,,,,,,
2 5:44 42 47 5,2 5:44 42 47,5,1900-01-01 00:05:44,2,0 days 00:18:16,42,47,89,Heat Full timeout,,,,,,,,,
2 5:44 42 47 6,2 5:44 42 47,6,1900-01-01 00:05:44,2,0 days 00:18:16,42,47,89,Markieff Morris makes driving layup,Markieff Morris,1,,,,,,2,Los Angeles Lakers
2 5:54 40 47 1,2 5:54 40 47,1,1900-01-01 00:05:54,2,0 days 00:18:06,40,47,87,Kentavious Caldwell-Pope defensive rebound,,,,,,,,,
2 5:58 40 47 1,2 5:58 40 47,1,1900-01-01 00:05:58,2,0 days 00:18:02,40,47,87,Tyler Herro misses pullup jump shot,Tyler Herro,,,,,,,,
2 6:20 40 47 1,2 6:20 40 47,1,1900-01-01 00:06:20,2,0 days 00:17:40,40,47,87,Markieff Morris makes 16-foot step back jumpshot (Dennis Schroder assists),Markieff Morris,1,,,,,,2,Los Angeles Lakers
2 6:35 38 47 1,2 6:35 38 47,1,1900-01-01 00:06:35,2,0 days 00:17:25,38,47,85,Tyler Herro makes 27-foot three point jumper (Andre Iguodala assists),Tyler Herro,,,1,,,,3,Miami Heat
2 6:50 38 44 1,2 6:50 38 44,1,1900-01-01 00:06:50,2,0 days 00:17:10,38,44,82,Kentavious Caldwell-Pope makes 25-foot step back jumpshot,Kentavious Caldwell-Pope,,,1,,,,3,Los Angeles Lakers
2 6:57 35 44 1,2 6:57 35 44,1,1900-01-01 00:06:57,2,0 days 00:17:03,35,44,79,Dennis Schroder defensive rebound,,,,,,,,,
2 7:01 35 44 1,2 7:01 35 44,1,1900-01-01 00:07:01,2,0 days 00:16:59,35,44,79,Nemanja Bjelica misses 28-foot three point jumper,Nemanja Bjelica,,,,1,,,,
2 7:27 35 44 1,2 7:27 35 44,1,1900-01-01 00:07:27,2,0 days 00:16:33,35,44,79,Wesley Matthews makes driving layup (Dennis Schroder assists),Wesley Matthews,1,,,,,,2,Los Angeles Lakers
2 7:39 33 44 1,2 7:39 33 44,1,1900-01-01 00:07:39,2,0 days 00:16:21,33,44,77,Jimmy Butler makes 4-foot two point shot,Jimmy Butler,1,,,,,,2,Miami Heat
2 7:48 33 42 1,2 7:48 33 42,1,1900-01-01 00:07:48,2,0 days 00:16:12,33,42,75,Dennis Schroder bad pass (Jimmy Butler steals),,,,,,,,,
2 7:57 33 42 1,2 7:57 33 42,1,1900-01-01 00:07:57,2,0 days 00:16:03,33,42,75,Kentavious Caldwell-Pope enters the game for Alfonzo McKinnie,,,,,,,,,
2 7:57 33 42 2,2 7:57 33 42,2,1900-01-01 00:07:57,2,0 days 00:16:03,33,42,75,Markieff Morris enters the game for Ben McLemore,,,,,,,,,
2 7:57 33 42 3,2 7:57 33 42,3,1900-01-01 00:07:57,2,0 days 00:16:03,33,42,75,Lakers Full timeout,,,,,,,,,
2 7:57 33 42 4,2 7:57 33 42,4,1900-01-01 00:07:57,2,0 days 00:16:03,33,42,75,Tyler Herro makes 23-foot three point shot (Nemanja Bjelica assists),Tyler Herro,,,1,,,,3,Miami Heat
2 8:00 33 39 1,2 8:00 33 39,1,1900-01-01 00:08:00,2,0 days 00:16:00,33,39,72,Jimmy Butler defensive rebound,,,,,,,,,
2 8:03 33 39 1,2 8:03 33 39,1,1900-01-01 00:08:03,2,0 days 00:15:57,33,39,72,Dennis Schroder misses two point shot,Dennis Schroder,,1,,,,,,
2 8:09 33 39 1,2 8:09 33 39,1,1900-01-01 00:08:09,2,0 days 00:15:51,33,39,72,Montrezl Harrell defensive rebound,,,,,,,,,
2 8:13 33 39 1,2 8:13 33 39,1,1900-01-01 00:08:13,2,0 days 00:15:47,33,39,72,Tyler Herro misses 27-foot three point shot,Tyler Herro,,,,1,,,,
2 8:16 33 39 1,2 8:16 33 39,1,1900-01-01 00:08:16,2,0 days 00:15:44,33,39,72,Jimmy Butler defensive rebound,,,,,,,,,
2 8:21 33 39 1,2 8:21 33 39,1,1900-01-01 00:08:21,2,0 days 00:15:39,33,39,72,Nemanja Bjelica blocks Dennis Schroder's pullup jump shot,Dennis Schroder,,,,,,,,
2 8:42 33 39 1,2 8:42 33 39,1,1900-01-01 00:08:42,2,0 days 00:15:18,33,39,72,Montrezl Harrell defensive rebound,,,,,,,,,
2 8:45 33 39 1,2 8:45 33 39,1,1900-01-01 00:08:45,2,0 days 00:15:15,33,39,72,Goran Dragic misses 27-foot three point jumper,Goran Dragic,,,,1,,,,
2 9:00 33 39 1,2 9:00 33 39,1,1900-01-01 00:09:00,2,0 days 00:15:00,33,39,72,Montrezl Harrell makes dunk (Dennis Schroder assists),Montrezl Harrell,1,,,,,,2,Los Angeles Lakers
2 9:09 31 39 1,2 9:09 31 39,1,1900-01-01 00:09:09,2,0 days 00:14:51,31,39,70,Goran Dragic turnover,,,,,,,,,
2 9:09 31 39 2,2 9:09 31 39,2,1900-01-01 00:09:09,2,0 days 00:14:51,31,39,70,Goran Dragic offensive foul,,,,,,,,,
2 9:14 31 39 1,2 9:14 31 39,1,1900-01-01 00:09:14,2,0 days 00:14:46,31,39,70,Wesley Matthews makes free throw 3 of 3,Wesley Matthews,,,,,1,,1,
2 9:14 30 39 1,2 9:14 30 39,1,1900-01-01 00:09:14,2,0 days 00:14:46,30,39,69,Wesley Matthews makes free throw 2 of 3,Wesley Matthews,,,,,1,,1,
2 9:14 29 39 1,2 9:14 29 39,1,1900-01-01 00:09:14,2,0 days 00:14:46,29,39,68,Wesley Matthews makes free throw 1 of 3,Wesley Matthews,,,,,1,,1,
2 9:14 28 39 1,2 9:14 28 39,1,1900-01-01 00:09:14,2,0 days 00:14:46,28,39,67,Tyler Herro shooting foul,,,,,,,,,
2 9:37 28 39 1,2 9:37 28 39,1,1900-01-01 00:09:37,2,0 days 00:14:23,28,39,67,Goran Dragic makes 20-foot jumper,Goran Dragic,1,,,,,,2,Miami Heat
2 9:42 28 37 1,2 9:42 28 37,1,1900-01-01 00:09:42,2,0 days 00:14:18,28,37,65,Andre Iguodala defensive rebound,,,,,,,,,
2 9:43 28 37 1,2 9:43 28 37,1,1900-01-01 00:09:43,2,0 days 00:14:17,28,37,65,Nemanja Bjelica blocks Dennis Schroder's driving layup,Dennis Schroder,,,,,,,,
2 9:49 28 37 1,2 9:49 28 37,1,1900-01-01 00:09:49,2,0 days 00:14:11,28,37,65,Goran Dragic kicked ball violation,,,,,,,,,
2 9:57 28 37 1,2 9:57 28 37,1,1900-01-01 00:09:57,2,0 days 00:14:03,28,37,65,Andre Iguodala personal foul,,,,,,,,,
2 10:05 28 37 1,2 10:05 28 37,1,1900-01-01 00:10:05,2,0 days 00:13:55,28,37,65,Lakers offensive team rebound,,,,,,,,,
2 10:05 28 37 2,2 10:05 28 37,2,1900-01-01 00:10:05,2,0 days 00:13:55,28,37,65,Andre Iguodala blocks Alfonzo McKinnie 's 3-foot driving layup,Alfonzo McKinnie,,1,,,,,,
2 10:18 28 37 1,2 10:18 28 37,1,1900-01-01 00:10:18,2,0 days 00:13:42,28,37,65,Jimmy Butler makes 23-foot three point jumper (Nemanja Bjelica assists),Jimmy Butler,,,1,,,,3,Miami Heat
2 10:42 28 34 1,2 10:42 28 34,1,1900-01-01 00:10:42,2,0 days 00:13:18,28,34,62,Nemanja Bjelica defensive rebound,,,,,,,,,
2 10:45 28 34 1,2 10:45 28 34,1,1900-01-01 00:10:45,2,0 days 00:13:15,28,34,62,Wesley Matthews misses 26-foot three point jumper,Wesley Matthews,,,,1,,,,
2 11:07 28 34 1,2 11:07 28 34,1,1900-01-01 00:11:07,2,0 days 00:12:53,28,34,62,Jimmy Butler makes two point shot (Tyler Herro assists),Jimmy Butler,1,,,,,,2,Miami Heat
2 11:14 28 32 1,2 11:14 28 32,1,1900-01-01 00:11:14,2,0 days 00:12:46,28,32,60,Montrezl Harrell bad pass (Tyler Herro steals),,,,,,,,,
2 11:24 28 32 1,2 11:24 28 32,1,1900-01-01 00:11:24,2,0 days 00:12:36,28,32,60,Wesley Matthews defensive rebound,,,,,,,,,
2 11:29 28 32 1,2 11:29 28 32,1,1900-01-01 00:11:29,2,0 days 00:12:31,28,32,60,Andre Iguodala misses 25-foot three point jumper,Andre Iguodala,,,,1,,,,
2 11:48 28 32 1,2 11:48 28 32,1,1900-01-01 00:11:48,2,0 days 00:12:12,28,32,60,Montrezl Harrell makes free throw 2 of 2,Montrezl Harrell,,,,,1,,1,
2 11:48 27 32 1,2 11:48 27 32,1,1900-01-01 00:11:48,2,0 days 00:12:12,27,32,59,Lakers offensive team rebound,,,,,,,,,
2 11:48 27 32 2,2 11:48 27 32,2,1900-01-01 00:11:48,2,0 days 00:12:12,27,32,59,Montrezl Harrell misses free throw 1 of 2,Montrezl Harrell,,,,,,1,,
2 11:48 27 32 3,2 11:48 27 32,3,1900-01-01 00:11:48,2,0 days 00:12:12,27,32,59,Nemanja Bjelica shooting foul,,,,,,,,,
1 0.0 27 32 1,1 0.0 27 32,1,1900-01-01 00:00:00,1,0 days 00:12:00,27,32,59,End of the 1st Quarter,,,,,,,,,
1 0.7 27 32 1,1 0.7 27 32,1,1900-01-01 00:00:00,1,0 days 00:12:00,27,32,59,Andre Iguodala defensive rebound,,,,,,,,,
1 1.6 27 32 1,1 1.6 27 32,1,1900-01-01 00:00:01,1,0 days 00:11:59,27,32,59,Dennis Schroder misses 13-foot two point shot,Dennis Schroder,,1,,,,,,
1 7.9 27 32 1,1 7.9 27 32,1,1900-01-01 00:00:07,1,0 days 00:11:53,27,32,59,Goran Dragic turnover,,,,,,,,,
1 7.9 27 32 2,1 7.9 27 32,2,1900-01-01 00:00:07,1,0 days 00:11:53,27,32,59,Goran Dragic offensive foul,,,,,,,,,
1 28.6 27 32 1,1 28.6 27 32,1,1900-01-01 00:00:28,1,0 days 00:11:32,27,32,59,Montrezl Harrell makes tip shot,Montrezl Harrell,1,,,,,,2,Los Angeles Lakers
1 28.6 25 32 1,1 28.6 25 32,1,1900-01-01 00:00:28,1,0 days 00:11:32,25,32,57,Montrezl Harrell offensive rebound,,,,,,,,,
1 30.8 25 32 1,1 30.8 25 32,1,1900-01-01 00:00:30,1,0 days 00:11:30,25,32,57,Wesley Matthews misses three point jumper,Wesley Matthews,,,,1,,,,
1 36.9 25 32 1,1 36.9 25 32,1,1900-01-01 00:00:36,1,0 days 00:11:24,25,32,57,Ben McLemore defensive rebound,,,,,,,,,
1 39.1 25 32 1,1 39.1 25 32,1,1900-01-01 00:00:39,1,0 days 00:11:21,25,32,57,Goran Dragic misses free throw 2 of 2,Goran Dragic,,,,,,1,,
1 39.1 25 32 2,1 39.1 25 32,2,1900-01-01 00:00:39,1,0 days 00:11:21,25,32,57,Wesley Matthews enters the game for Alex Caruso,,,,,,,,,
1 39.1 25 32 3,1 39.1 25 32,3,1900-01-01 00:00:39,1,0 days 00:11:21,25,32,57,Goran Dragic makes free throw 1 of 2,Goran Dragic,,,,,1,,1,
1 39.1 25 31 1,1 39.1 25 31,1,1900-01-01 00:00:39,1,0 days 00:11:21,25,31,56,Alex Caruso shooting foul,,,,,,,,,
1 46.6 25 31 1,1 46.6 25 31,1,1900-01-01 00:00:46,1,0 days 00:11:14,25,31,56,Dennis Schroder bad pass (Jimmy Butler steals),,,,,,,,,
1 54.3 25 31 1,1 54.3 25 31,1,1900-01-01 00:00:54,1,0 days 00:11:06,25,31,56,Ben McLemore makes technical free throw,Ben McLemore,,,,,1,,1,
1 54.3 24 31 1,1 54.3 24 31,1,1900-01-01 00:00:54,1,0 days 00:11:06,24,31,55,"Nemanja Bjelica defensive 3-seconds (technical foul)
",,,,,,,,,
1 1:08 24 31 1,1 1:08 24 31,1,1900-01-01 00:01:08,1,0 days 00:10:52,24,31,55,Goran Dragic makes two point shot,Goran Dragic,1,,,,,,2,Miami Heat
1 1:12 24 29 1,1 1:12 24 29,1,1900-01-01 00:01:12,1,0 days 00:10:48,24,29,53,Goran Dragic defensive rebound,,,,,,,,,
1 1:15 24 29 1,1 1:15 24 29,1,1900-01-01 00:01:15,1,0 days 00:10:45,24,29,53,Ben McLemore misses 27-foot three point jumper,Ben McLemore,,,,1,,,,
1 1:30 24 29 1,1 1:30 24 29,1,1900-01-01 00:01:30,1,0 days 00:10:30,24,29,53,Tyler Herro makes 28-foot three point jumper (Goran Dragic assists),Tyler Herro,,,1,,,,3,Miami Heat
1 1:38 24 26 1,1 1:38 24 26,1,1900-01-01 00:01:38,1,0 days 00:10:22,24,26,50,Dennis Schroder enters the game for Kentavious Caldwell-Pope,,,,,,,,,
1 1:38 24 26 2,1 1:38 24 26,2,1900-01-01 00:01:38,1,0 days 00:10:22,24,26,50,Andre Iguodala enters the game for Trevor Ariza,,,,,,,,,
1 1:38 24 26 3,1 1:38 24 26,3,1900-01-01 00:01:38,1,0 days 00:10:22,24,26,50,Jimmy Butler enters the game for Victor Oladipo,,,,,,,,,
1 1:38 24 26 4,1 1:38 24 26,4,1900-01-01 00:01:38,1,0 days 00:10:22,24,26,50,Alfonzo McKinnie steps out of bounds turnover,,,,,,,,,
1 1:48 24 26 1,1 1:48 24 26,1,1900-01-01 00:01:48,1,0 days 00:10:12,24,26,50,Alex Caruso defensive rebound,,,,,,,,,
1 1:51 24 26 1,1 1:51 24 26,1,1900-01-01 00:01:51,1,0 days 00:10:09,24,26,50,Goran Dragic misses 27-foot three point jumper,Goran Dragic,,,,1,,,,
1 2:01 24 26 1,1 2:01 24 26,1,1900-01-01 00:02:01,1,0 days 00:09:59,24,26,50,Nemanja Bjelica defensive rebound,,,,,,,,,
1 2:04 24 26 1,1 2:04 24 26,1,1900-01-01 00:02:04,1,0 days 00:09:56,24,26,50,Ben McLemore misses 25-foot three point jumper,Ben McLemore,,,,1,,,,
1 2:07 24 26 1,1 2:07 24 26,1,1900-01-01 00:02:07,1,0 days 00:09:53,24,26,50,Montrezl Harrell offensive rebound,,,,,,,,,
1 2:10 24 26 1,1 2:10 24 26,1,1900-01-01 00:02:10,1,0 days 00:09:50,24,26,50,Alfonzo McKinnie misses 26-foot three point jumper,Alfonzo McKinnie,,,,1,,,,
1 2:22 24 26 1,1 2:22 24 26,1,1900-01-01 00:02:22,1,0 days 00:09:38,24,26,50,Alex Caruso defensive rebound,,,,,,,,,
1 2:26 24 26 1,1 2:26 24 26,1,1900-01-01 00:02:26,1,0 days 00:09:34,24,26,50,Tyler Herro misses 16-foot pullup jump shot,Tyler Herro,,1,,,,,,
1 2:45 24 26 1,1 2:45 24 26,1,1900-01-01 00:02:45,1,0 days 00:09:15,24,26,50,Kentavious Caldwell-Pope makes 26-foot three point jumper (Alex Caruso assists),Kentavious Caldwell-Pope,,,1,,,,3,Los Angeles Lakers
1 2:57 21 26 1,1 2:57 21 26,1,1900-01-01 00:02:57,1,0 days 00:09:03,21,26,47,Victor Oladipo makes free throw 2 of 2,Victor Oladipo,,,,,1,,1,
1 2:57 21 25 1,1 2:57 21 25,1,1900-01-01 00:02:57,1,0 days 00:09:03,21,25,46,Victor Oladipo makes free throw 1 of 2,Victor Oladipo,,,,,1,,1,
1 2:57 21 24 1,1 2:57 21 24,1,1900-01-01 00:02:57,1,0 days 00:09:03,21,24,45,Ben McLemore shooting foul,,,,,,,,,
1 3:02 21 24 1,1 3:02 21 24,1,1900-01-01 00:03:02,1,0 days 00:08:58,21,24,45,Montrezl Harrell bad pass (Tyler Herro steals),,,,,,,,,
1 3:12 21 24 1,1 3:12 21 24,1,1900-01-01 00:03:12,1,0 days 00:08:48,21,24,45,Nemanja Bjelica personal foul,,,,,,,,,
1 3:20 21 24 1,1 3:20 21 24,1,1900-01-01 00:03:20,1,0 days 00:08:40,21,24,45,Goran Dragic makes free throw 2 of 2,Goran Dragic,,,,,1,,1,
1 3:20 21 23 1,1 3:20 21 23,1,1900-01-01 00:03:20,1,0 days 00:08:40,21,23,44,Montrezl Harrell enters the game for Markieff Morris,,,,,,,,,
1 3:20 21 23 2,1 3:20 21 23,2,1900-01-01 00:03:20,1,0 days 00:08:40,21,23,44,Alfonzo McKinnie enters the game for Andre Drummond,,,,,,,,,
1 3:20 21 23 3,1 3:20 21 23,3,1900-01-01 00:03:20,1,0 days 00:08:40,21,23,44,Nemanja Bjelica enters the game for Bam Adebayo,,,,,,,,,
1 3:20 21 23 4,1 3:20 21 23,4,1900-01-01 00:03:20,1,0 days 00:08:40,21,23,44,Goran Dragic makes free throw 1 of 2,Goran Dragic,,,,,1,,1,
1 3:20 21 22 1,1 3:20 21 22,1,1900-01-01 00:03:20,1,0 days 00:08:40,21,22,43,Andre Drummond loose ball foul,,,,,,,,,
1 3:20 21 22 2,1 3:20 21 22,2,1900-01-01 00:03:20,1,0 days 00:08:40,21,22,43,Heat offensive team rebound,,,,,,,,,
1 3:20 21 22 3,1 3:20 21 22,3,1900-01-01 00:03:20,1,0 days 00:08:40,21,22,43,Goran Dragic misses jumper,Goran Dragic,,,,,,,,
1 3:27 21 22 1,1 3:27 21 22,1,1900-01-01 00:03:27,1,0 days 00:08:33,21,22,43,Goran Dragic defensive rebound,,,,,,,,,
1 3:30 21 22 1,1 3:30 21 22,1,1900-01-01 00:03:30,1,0 days 00:08:30,21,22,43,Victor Oladipo blocks Andre Drummond 's 5-foot layup,Andre Drummond,,1,,,,,,
1 3:45 21 22 1,1 3:45 21 22,1,1900-01-01 00:03:45,1,0 days 00:08:15,21,22,43,Andre Drummond defensive rebound,,,,,,,,,
1 3:48 21 22 1,1 3:48 21 22,1,1900-01-01 00:03:48,1,0 days 00:08:12,21,22,43,Tyler Herro misses 10-foot two point shot,Tyler Herro,,1,,,,,,
1 4:10 21 22 1,1 4:10 21 22,1,1900-01-01 00:04:10,1,0 days 00:07:50,21,22,43,Trevor Ariza defensive rebound,,,,,,,,,
1 4:15 21 22 1,1 4:15 21 22,1,1900-01-01 00:04:15,1,0 days 00:07:45,21,22,43,Kentavious Caldwell-Pope misses 20-foot pullup jump shot,Kentavious Caldwell-Pope,,1,,,,,,
1 4:31 21 22 1,1 4:31 21 22,1,1900-01-01 00:04:31,1,0 days 00:07:29,21,22,43,Andre Drummond defensive rebound,,,,,,,,,
1 4:34 21 22 1,1 4:34 21 22,1,1900-01-01 00:04:34,1,0 days 00:07:26,21,22,43,Goran Dragic misses free throw 2 of 2,Goran Dragic,,,,,,1,,
1 4:34 21 22 2,1 4:34 21 22,2,1900-01-01 00:04:34,1,0 days 00:07:26,21,22,43,Goran Dragic makes free throw 1 of 2,Goran Dragic,,,,,1,,1,
1 4:34 21 21 1,1 4:34 21 21,1,1900-01-01 00:04:34,1,0 days 00:07:26,21,21,42,Alex Caruso personal foul,,,,,,,,,
1 4:42 21 21 1,1 4:42 21 21,1,1900-01-01 00:04:42,1,0 days 00:07:18,21,21,42,Alex Caruso makes layup (Andre Drummond assists),Alex Caruso,1,,,,,,2,Los Angeles Lakers
1 4:52 19 21 1,1 4:52 19 21,1,1900-01-01 00:04:52,1,0 days 00:07:08,19,21,40,Ben McLemore defensive rebound,,,,,,,,,
1 4:54 19 21 1,1 4:54 19 21,1,1900-01-01 00:04:54,1,0 days 00:07:06,19,21,40,Bam Adebayo misses 7-foot jump bank shot,Bam Adebayo,,1,,,,,,
1 5:07 19 21 1,1 5:07 19 21,1,1900-01-01 00:05:07,1,0 days 00:06:53,19,21,40,Heat Full timeout,,,,,,,,,
1 5:07 19 21 2,1 5:07 19 21,2,1900-01-01 00:05:07,1,0 days 00:06:53,19,21,40,Andre Drummond makes two point shot,Andre Drummond,1,,,,,,2,Los Angeles Lakers
1 5:08 17 21 1,1 5:08 17 21,1,1900-01-01 00:05:08,1,0 days 00:06:52,17,21,38,Andre Drummond offensive rebound,,,,,,,,,
1 5:09 17 21 1,1 5:09 17 21,1,1900-01-01 00:05:09,1,0 days 00:06:51,17,21,38,Andre Drummond misses driving layup,Andre Drummond,,,,,,,,
1 5:29 17 21 1,1 5:29 17 21,1,1900-01-01 00:05:29,1,0 days 00:06:31,17,21,38,Tyler Herro enters the game for Duncan Robinson,,,,,,,,,
1 5:29 17 21 2,1 5:29 17 21,2,1900-01-01 00:05:29,1,0 days 00:06:31,17,21,38,Duncan Robinson turnover,,,,,,,,,
1 5:29 17 21 3,1 5:29 17 21,3,1900-01-01 00:05:29,1,0 days 00:06:31,17,21,38,Duncan Robinson offensive foul,,,,,,,,,
