time_stamp,time_index,same_time_count,time,period,adj_time,away,home,total,play,player,fg_makes,fg_misses,3_makes,3_misses,ft_makes,ft_misses,points,team
3 2:17 72 80 1,3 2:17 72 80,1,1900-01-01 00:02:17,3,0 days 00:33:43,72,80,152,Bam Adebayo misses driving layup,Bam Adebayo,,,,,,,,
3 2:22 72 80 1,3 2:22 72 80,1,1900-01-01 00:02:22,3,0 days 00:33:38,72,80,152,Bam Adebayo defensive rebound,,,,,,,,,
3 2:26 72 80 1,3 2:26 72 80,1,1900-01-01 00:02:26,3,0 days 00:33:34,72,80,152,Alfonzo McKinnie misses driving floating jump shot,Alfonzo McKinnie,,,,,,,,
3 2:46 72 80 1,3 2:46 72 80,1,1900-01-01 00:02:46,3,0 days 00:33:14,72,80,152,Duncan Robinson makes free throw 1 of 1,Duncan Robinson,,,,,1,,1,
3 2:46 72 79 1,3 2:46 72 79,1,1900-01-01 00:02:46,3,0 days 00:33:14,72,79,151,Alfonzo McKinnie enters the game for Markieff Morris,,,,,,,,,
3 2:46 72 79 2,3 2:46 72 79,2,1900-01-01 00:02:46,3,0 days 00:33:14,72,79,151,Lakers Full timeout,,,,,,,,,
3 2:46 72 79 3,3 2:46 72 79,3,1900-01-01 00:02:46,3,0 days 00:33:14,72,79,151,Kentavious Caldwell-Pope shooting foul,,,,,,,,,
3 2:46 72 79 4,3 2:46 72 79,4,1900-01-01 00:02:46,3,0 days 00:33:14,72,79,151,Duncan Robinson makes 28-foot three pointer (Bam Adebayo assists),Duncan Robinson,,,1,,,,3,Miami Heat
3 3:04 72 76 1,3 3:04 72 76,1,1900-01-01 00:03:04,3,0 days 00:32:56,72,76,148,Montrezl Harrell turnover,,,,,,,,,
3 3:04 72 76 2,3 3:04 72 76,2,1900-01-01 00:03:04,3,0 days 00:32:56,72,76,148,Montrezl Harrell offensive foul,,,,,,,,,
3 3:20 72 76 1,3 3:20 72 76,1,1900-01-01 00:03:20,3,0 days 00:32:40,72,76,148,Victor Oladipo makes 26-foot three point jumper (Goran Dragic assists),Victor Oladipo,,,1,,,,3,Miami Heat
3 3:30 72 73 1,3 3:30 72 73,1,1900-01-01 00:03:30,3,0 days 00:32:30,72,73,145,Markieff Morris bad pass (Goran Dragic steals),,,,,,,,,
3 3:44 72 73 1,3 3:44 72 73,1,1900-01-01 00:03:44,3,0 days 00:32:16,72,73,145,Montrezl Harrell defensive rebound,,,,,,,,,
3 3:47 72 73 1,3 3:47 72 73,1,1900-01-01 00:03:47,3,0 days 00:32:13,72,73,145,Bam Adebayo misses free throw 2 of 2,Bam Adebayo,,,,,,1,,
3 3:47 72 73 2,3 3:47 72 73,2,1900-01-01 00:03:47,3,0 days 00:32:13,72,73,145,Montrezl Harrell enters the game for Dennis Schroder,,,,,,,,,
3 3:47 72 73 3,3 3:47 72 73,3,1900-01-01 00:03:47,3,0 days 00:32:13,72,73,145,Alex Caruso enters the game for Andre Drummond,,,,,,,,,
3 3:47 72 73 4,3 3:47 72 73,4,1900-01-01 00:03:47,3,0 days 00:32:13,72,73,145,Bam Adebayo makes free throw 1 of 2,Bam Adebayo,,,,,1,,1,
3 3:47 72 72 1,3 3:47 72 72,1,1900-01-01 00:03:47,3,0 days 00:32:13,72,72,144,Andre Drummond shooting foul,,,,,,,,,
3 3:55 72 72 1,3 3:55 72 72,1,1900-01-01 00:03:55,3,0 days 00:32:05,72,72,144,Dennis Schroder makes free throw 2 of 2,Dennis Schroder,,,,,1,,1,
3 3:55 71 72 1,3 3:55 71 72,1,1900-01-01 00:03:55,3,0 days 00:32:05,71,72,143,Ben McLemore enters the game for Alex Caruso,,,,,,,,,
3 3:55 71 72 2,3 3:55 71 72,2,1900-01-01 00:03:55,3,0 days 00:32:05,71,72,143,Bam Adebayo enters the game for Precious Achiuwa,,,,,,,,,
3 3:55 71 72 3,3 3:55 71 72,3,1900-01-01 00:03:55,3,0 days 00:32:05,71,72,143,Dennis Schroder makes free throw 1 of 2,Dennis Schroder,,,,,1,,1,
3 3:55 70 72 1,3 3:55 70 72,1,1900-01-01 00:03:55,3,0 days 00:32:05,70,72,142,Precious Achiuwa personal foul,,,,,,,,,
3 3:56 70 72 1,3 3:56 70 72,1,1900-01-01 00:03:56,3,0 days 00:32:04,70,72,142,Dennis Schroder defensive rebound,,,,,,,,,
3 3:58 70 72 1,3 3:58 70 72,1,1900-01-01 00:03:58,3,0 days 00:32:02,70,72,142,Victor Oladipo misses layup,Victor Oladipo,,,,,,,,
3 4:12 70 72 1,3 4:12 70 72,1,1900-01-01 00:04:12,3,0 days 00:31:48,70,72,142,Precious Achiuwa defensive rebound,,,,,,,,,
3 4:16 70 72 1,3 4:16 70 72,1,1900-01-01 00:04:16,3,0 days 00:31:44,70,72,142,Kentavious Caldwell-Pope misses 29-foot three point jumper,Kentavious Caldwell-Pope,,,,1,,,,
3 4:33 70 72 1,3 4:33 70 72,1,1900-01-01 00:04:33,3,0 days 00:31:27,70,72,142,Victor Oladipo out of bounds lost ball turnover,,,,,,,,,
3 4:47 70 72 1,3 4:47 70 72,1,1900-01-01 00:04:47,3,0 days 00:31:13,70,72,142,Kentavious Caldwell-Pope makes 23-foot three point jumper (Alex Caruso assists),Kentavious Caldwell-Pope,,,1,,,,3,Los Angeles Lakers
3 5:00 67 72 1,3 5:00 67 72,1,1900-01-01 00:05:00,3,0 days 00:31:00,67,72,139,Precious Achiuwa makes two point shot,Precious Achiuwa,1,,,,,,2,Miami Heat
3 5:05 67 70 1,3 5:05 67 70,1,1900-01-01 00:05:05,3,0 days 00:30:55,67,70,137,Alex Caruso bad pass (Precious Achiuwa steals),,,,,,,,,
3 5:26 67 70 1,3 5:26 67 70,1,1900-01-01 00:05:26,3,0 days 00:30:34,67,70,137,Goran Dragic enters the game for Jimmy Butler,,,,,,,,,
3 5:26 67 70 2,3 5:26 67 70,2,1900-01-01 00:05:26,3,0 days 00:30:34,67,70,137,Precious Achiuwa personal foul,,,,,,,,,
3 5:26 67 70 3,3 5:26 67 70,3,1900-01-01 00:05:26,3,0 days 00:30:34,67,70,137,Dennis Schroder defensive rebound,,,,,,,,,
3 5:27 67 70 1,3 5:27 67 70,1,1900-01-01 00:05:27,3,0 days 00:30:33,67,70,137,Victor Oladipo misses pullup jump shot,Victor Oladipo,,,,,,,,
3 5:47 67 70 1,3 5:47 67 70,1,1900-01-01 00:05:47,3,0 days 00:30:13,67,70,137,Alex Caruso makes 26-foot three point jumper (Dennis Schroder assists),Alex Caruso,,,1,,,,3,Los Angeles Lakers
3 6:12 64 70 1,3 6:12 64 70,1,1900-01-01 00:06:12,3,0 days 00:29:48,64,70,134,Jimmy Butler makes free throw 2 of 2,Jimmy Butler,,,,,1,,1,
3 6:12 64 69 1,3 6:12 64 69,1,1900-01-01 00:06:12,3,0 days 00:29:48,64,69,133,Jimmy Butler makes free throw 1 of 2,Jimmy Butler,,,,,1,,1,
3 6:12 64 68 1,3 6:12 64 68,1,1900-01-01 00:06:12,3,0 days 00:29:48,64,68,132,Markieff Morris personal foul,,,,,,,,,
3 6:27 64 68 1,3 6:27 64 68,1,1900-01-01 00:06:27,3,0 days 00:29:33,64,68,132,Dennis Schroder makes free throw 2 of 2,Dennis Schroder,,,,,1,,1,
3 6:27 63 68 1,3 6:27 63 68,1,1900-01-01 00:06:27,3,0 days 00:29:33,63,68,131,Dennis Schroder makes free throw 1 of 2,Dennis Schroder,,,,,1,,1,
3 6:27 62 68 1,3 6:27 62 68,1,1900-01-01 00:06:27,3,0 days 00:29:33,62,68,130,Heat Full timeout,,,,,,,,,
3 6:27 62 68 2,3 6:27 62 68,2,1900-01-01 00:06:27,3,0 days 00:29:33,62,68,130,Precious Achiuwa shooting foul,,,,,,,,,
3 6:46 62 68 1,3 6:46 62 68,1,1900-01-01 00:06:46,3,0 days 00:29:14,62,68,130,Trevor Ariza makes two point shot,Trevor Ariza,1,,,,,,2,Miami Heat
3 6:50 62 66 1,3 6:50 62 66,1,1900-01-01 00:06:50,3,0 days 00:29:10,62,66,128,Markieff Morris lost ball turnover (Victor Oladipo steals),,,,,,,,,
3 7:11 62 66 1,3 7:11 62 66,1,1900-01-01 00:07:11,3,0 days 00:28:49,62,66,128,Victor Oladipo makes 2-foot driving dunk (Duncan Robinson assists),Victor Oladipo,1,,,,,,2,Miami Heat
3 7:27 62 64 1,3 7:27 62 64,1,1900-01-01 00:07:27,3,0 days 00:28:33,62,64,126,Andre Drummond makes free throw 2 of 2,Andre Drummond,,,,,1,,1,
3 7:27 61 64 1,3 7:27 61 64,1,1900-01-01 00:07:27,3,0 days 00:28:33,61,64,125,Andre Drummond makes free throw 1 of 2,Andre Drummond,,,,,1,,1,
3 7:27 60 64 1,3 7:27 60 64,1,1900-01-01 00:07:27,3,0 days 00:28:33,60,64,124,Precious Achiuwa shooting foul,,,,,,,,,
3 7:46 60 64 1,3 7:46 60 64,1,1900-01-01 00:07:46,3,0 days 00:28:14,60,64,124,Jimmy Butler makes free throw 2 of 2,Jimmy Butler,,,,,1,,1,
3 7:46 60 63 1,3 7:46 60 63,1,1900-01-01 00:07:46,3,0 days 00:28:14,60,63,123,Alex Caruso enters the game for Wesley Matthews,,,,,,,,,
3 7:46 60 63 2,3 7:46 60 63,2,1900-01-01 00:07:46,3,0 days 00:28:14,60,63,123,Heat offensive team rebound,,,,,,,,,
3 7:46 60 63 3,3 7:46 60 63,3,1900-01-01 00:07:46,3,0 days 00:28:14,60,63,123,Jimmy Butler misses free throw 1 of 2,Jimmy Butler,,,,,,1,,
3 7:46 60 63 4,3 7:46 60 63,4,1900-01-01 00:07:46,3,0 days 00:28:14,60,63,123,Wesley Matthews shooting foul,,,,,,,,,
3 8:00 60 63 1,3 8:00 60 63,1,1900-01-01 00:08:00,3,0 days 00:28:00,60,63,123,Precious Achiuwa enters the game for Bam Adebayo,,,,,,,,,
3 8:00 60 63 2,3 8:00 60 63,2,1900-01-01 00:08:00,3,0 days 00:28:00,60,63,123,Dennis Schroder personal take foul,,,,,,,,,
3 8:01 60 63 1,3 8:01 60 63,1,1900-01-01 00:08:01,3,0 days 00:27:59,60,63,123,Dennis Schroder bad pass (Victor Oladipo steals),,,,,,,,,
3 8:10 60 63 1,3 8:10 60 63,1,1900-01-01 00:08:10,3,0 days 00:27:50,60,63,123,Jimmy Butler makes 3-foot two point shot,Jimmy Butler,1,,,,,,2,Miami Heat
3 8:26 60 61 1,3 8:26 60 61,1,1900-01-01 00:08:26,3,0 days 00:27:34,60,61,121,Andre Drummond makes 5-foot two point shot (Dennis Schroder assists),Andre Drummond,1,,,,,,2,Los Angeles Lakers
3 8:38 58 61 1,3 8:38 58 61,1,1900-01-01 00:08:38,3,0 days 00:27:22,58,61,119,Andre Drummond defensive rebound,,,,,,,,,
3 8:41 58 61 1,3 8:41 58 61,1,1900-01-01 00:08:41,3,0 days 00:27:19,58,61,119,Duncan Robinson misses three point jumper,Duncan Robinson,,,,1,,,,
